Coder,Timestamp,Input URL [URL],Input ID [ID],Post availability,Image(s)/Video(s) included,AI Image/Video,AI Labeling in Image/Video,AI Labeling in Post Text,AI Labeling in Post/Ad,Theme of the Image/Video,Nature of the Image/Video,Number of People in the Image/Video,People in the Image/Video,Names of Actors,Actors,Topics,Negative Tendency/Tonality,Type of Attack,Target of Attack,Positive Tendency/Tonality,Here it is coded which specific aspect the recognition/acclaim is directed at. Five types of acclaim are distinguished. Each of the following categories is coded with “1” if this type of acclaim is present in the post; otherwise “0.”,Target of Acclaim,Column 1
Ella,14/09/2025 16:04:22,https://www.instagram.com/p/DNoKX5ko7-R/,DNoKX5ko7-R,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Political positioning,"The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF), PVV","Economy and finance, Europe",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)",Positive tendency/tonality NOT present,NA,NA,7
Lynn,14/09/2025 10:19:01,https://www.instagram.com/p/DNoKX5ko7-R/,DNVXI5SI9IL,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Political positioning,"The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",No person shown,NA,NA,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF), PVV: Geert Wilders, Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)","Economy and finance, Europe",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)","Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)",Positive tendency/tonality NOT present,NA,NA,16
Doortje,14/09/2025 21:51:10,https://www.instagram.com/p/DNoKX5ko7-R/,DNVXI5SI9IL,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Events/Landscape & city scenes: Unlike a symbolic image, people/politicians are doing something, moving, or working (e.g., groups such as politicians, refugees, farmers, protesters, police officers, etc.). Alternatively, a city or (natural) landscape is shown where something is happening (e.g., forest dieback, fire, or flooding, nuclear power plants or wind turbines).","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF), PVV: Geert Wilders, Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)","Economy and finance, Europe",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)","Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF), Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)",Positive tendency/tonality NOT present,NA,NA,16
Ella,14/09/2025 16:23:38,https://www.instagram.com/p/DNVXI5SI9IL/,DNVXI5SI9IL,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Other imagery,"The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), PVV: Geert Wilders",Muslim,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), CDA, GL-PvdA, PVV, PVV: Geert Wilders, D66, CU, JA21, Volt, PvdD","Labor and social issues, Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Foreign, security, and defense policy, Education and culture",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)",PVV: Geert Wilders,Positive tendency/tonality present,"Acclaim/Praise/Recognition of political issues/achievements/ideologies (e.g., past or future achievements)",Other parties from the Netherlands,16
Doortje,14/09/2025 22:22:06,https://www.instagram.com/p/DNVXI5SI9IL/,DNVXI5SI9IL,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video contains a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), PVV: Geert Wilders",x,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), CDA, GL-PvdA, PVV, PVV: Geert Wilders, D66, SP, CU, JA21, Volt, PvdD","Election in general (electoral system, campaign events, campaign dates, campaign appearances, election polls), Labor and social issues, Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Foreign, security, and defense policy, Education and culture",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)",PVV: Geert Wilders,Positive tendency/tonality present,"Acclaim/Praise/Recognition of political issues/achievements/ideologies (e.g., past or future achievements)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority)",16
Lynn,14/09/2025 10:35:54,https://www.instagram.com/p/DNVXI5SI9IL/,DOTowTwCNYM,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor.","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), PVV: Geert Wilders",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), CDA, GL-PvdA, PVV, PVV: Geert Wilders, D66, SP, JA21, Volt, PvdD","Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)",PVV: Geert Wilders,Positive tendency/tonality NOT present,NA,NA,17
Lynn,14/09/2025 09:31:45,https://www.instagram.com/p/DOQupKxjYWE,1076106984709992,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
Ella,14/09/2025 13:53:40,https://www.instagram.com/p/DOQupKxjYWE,1076106984709992,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
Doortje,14/09/2025 20:01:16,https://www.instagram.com/p/DOQupKxjYWE,1076106984709992,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
Ella,14/09/2025 16:36:15,https://www.instagram.com/p/DOTowTwCNYM/,DOTowTwCNYM,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Image from a campaign event","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), PVV: Geert Wilders",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF), PVV, PVV: Geert Wilders","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality NOT present,NA,NA,17
Doortje,14/09/2025 22:36:09,https://www.instagram.com/p/DOTowTwCNYM/,DOTowTwCNYM,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad contains a disclaimer labeling content/sequences as AI-generated,"Positive imagery/Acclaims: The image/video portrays past and future achievements of the party/government in a positive light. This includes drawing a positive balance, saying “thank you” to campaign helpers, or positively discussing political plans/goals., Image from a campaign event","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), PVV: Geert Wilders",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), PVV, PVV: Geert Wilders, VVD","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality present,"Acclaim/Praise/Recognition of a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","PVV, PVV: Geert Wilders",17
Lynn,14/09/2025 10:55:18,https://www.instagram.com/p/DOTowTwCNYM/,pfbid09nz6sTciccCFnRfKcYnp7NFayVAtHNDVVbJBmUNejMPDqhJtyLJaLsziNvXpRTg3l,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad contains a disclaimer labeling content/sequences as AI-generated,"Political positioning, Positive imagery/Acclaims: The image/video portrays past and future achievements of the party/government in a positive light. This includes drawing a positive balance, saying “thank you” to campaign helpers, or positively discussing political plans/goals.","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,PVV: Geert Wilders,x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), PVV, PVV: Geert Wilders","Political parties and politicians (candidate presentation; politicians as the main subject), Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality present,"Acclaim/Praise/Recognition of a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","PVV, PVV: Geert Wilders",4
Lynn,14/09/2025 09:51:03,https://www.tiktok.com/@f_timmermans/video/7545125378071760161,pfbid02hCPaP6Ygh5unqjn9tJiBPERa8DXbh6dRP6KgYERcb93GY3eRX2vKFTttbepbKRMEl,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Ella,14/09/2025 14:05:05,https://www.tiktok.com/@f_timmermans/video/7545125378071760161,pfbid02hCPaP6Ygh5unqjn9tJiBPERa8DXbh6dRP6KgYERcb93GY3eRX2vKFTttbepbKRMEl,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Doortje,14/09/2025 21:05:45,https://www.tiktok.com/@f_timmermans/video/7545125378071760161,pfbid02hCPaP6Ygh5unqjn9tJiBPERa8DXbh6dRP6KgYERcb93GY3eRX2vKFTttbepbKRMEl,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Lynn,13/09/2025 13:15:24,https://www.tiktok.com/@hetsnorretje/video/7538805695941053729,1090982176555806,Post available,One or more videos included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad contains a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), CDA: Hanneke Steen, GL-PvdA: Frans Timmermans, PVV: Geert Wilders, D66: Rob Jetten, Representatives of social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), CDA: Hanneke Steen, GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, D66: Rob Jetten, (Representatives of) social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)","Political parties and politicians (candidate presentation; politicians as the main subject), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Civil rights (including gender politics, LGBTQ+ policies)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), CDA: Hanneke Steen, GL-PvdA: Frans Timmermans, D66: Rob Jetten, (Representatives of) social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)",Positive tendency/tonality present,"Acclaim/Praise/Recognition of political issues/achievements/ideologies (e.g., past or future achievements)",PVV: Geert Wilders,19
Ella,14/09/2025 13:28:26,https://www.tiktok.com/@hetsnorretje/video/7538805695941053729,1090982176555806,Post available,One or more videos included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad contains a disclaimer labeling content/sequences as AI-generated,"Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Positive imagery/Acclaims: The image/video portrays past and future achievements of the party/government in a positive light. This includes drawing a positive balance, saying “thank you” to campaign helpers, or positively discussing political plans/goals., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), GL-PvdA: Frans Timmermans, PVV: Geert Wilders, D66: Rob Jetten, PvdD: Esther Ouwehand, Representatives of non-political institutions (e.g., police, churches, military, other public institutions), Representatives of social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)",Greta Thunberg,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, D66: Rob Jetten, PvdD: Esther Ouwehand, (Representatives of) non-political institutions (e.g., police, churches, military, public institutions), (Representatives of) social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)","Political parties and politicians (candidate presentation; politicians as the main subject), Civil rights (including gender politics, LGBTQ+ policies)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), GL-PvdA: Frans Timmermans, D66: Rob Jetten, PvdD: Esther Ouwehand, (Representatives of) social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)",Positive tendency/tonality present,"Acclaim/Praise/Recognition of a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","PVV, PVV: Geert Wilders",19
Doortje,14/09/2025 19:23:50,https://www.tiktok.com/@hetsnorretje/video/7538805695941053729,https://www.tiktok.com/@hetsnorretje/video/7538805695941053729,Post available,One or more videos included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad contains a disclaimer labeling content/sequences as AI-generated,"Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), GL-PvdA: Frans Timmermans, PVV: Geert Wilders, D66: Rob Jetten, PvdD: Esther Ouwehand, Representatives of social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)",Thunberg,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, D66: Rob Jetten, PvdD: Esther Ouwehand, (Representatives of) social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)","Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Environmental and energy policy, Civil rights (including gender politics, LGBTQ+ policies)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), GL-PvdA: Frans Timmermans, D66: Rob Jetten, PvdD: Esther Ouwehand, (Representatives of) social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)",Positive tendency/tonality present,"Acclaim/Praise/Recognition of a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","PVV, PVV: Geert Wilders",20
Lynn,14/09/2025 11:06:02,https://www.tiktok.com/@jesse.klaver/video/7470586475034266902,1.32583E+15,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
Ella,14/09/2025 16:48:10,https://www.tiktok.com/@jesse.klaver/video/7470586475034266902,7470586475034266902,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
Doortje,14/09/2025 22:53:45,https://www.tiktok.com/@jesse.klaver/video/7470586475034266902,7470586475034266902,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
Lynn,13/09/2025 12:48:39,https://www.tiktok.com/@laurens.dassen/video/7545859322257919265,7545859322257919265,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Ella,14/09/2025 13:15:13,https://www.tiktok.com/@laurens.dassen/video/7545859322257919265,7545859322257919265,Post available,Both image(s) and video(s) included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Doortje,14/09/2025 18:59:05,https://www.tiktok.com/@laurens.dassen/video/7545859322257919265,https://www.tiktok.com/@laurens.dassen/video/7545859322257919265,Post available,One or more videos included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
Lynn,14/09/2025 10:23:17,https://www.tiktok.com/@robjettend66/photo/7492062436552494358,7470586475034266902,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Event announcement/Election call/Candidate presentation, Political positioning, Symbolic image of person(s)/politician(s)/citizen(s) looking directly into the camera (classic campaign poster image).","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,D66: Rob Jetten,x,"D66, D66: Rob Jetten, Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)",Political parties and politicians (candidate presentation; politicians as the main subject),Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality NOT present,NA,NA,21
Doortje,14/09/2025 21:57:58,https://www.tiktok.com/@robjettend66/photo/7492062436552494358,7470586475034266902,Post available,One or more videos included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,D66: Rob Jetten,x,"D66, D66: Rob Jetten",Europe,Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality NOT present,NA,NA,21
Ella,14/09/2025 16:05:04,https://www.tiktok.com/@robjettend66/photo/7492062436552494358,7492062436552494358,Post not available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
